XsdFilePosition,Name,Type,SubstitutionGroup,IsAbstract,INullable
1.1\gfc.xsd(65),FC_FeatureAssociation,gfc:FC_FeatureAssociation_Type,gfc:FC_FeatureType,FALSE,FALSE
1.1\gfc.xsd(93),FC_FeatureCatalogue,gfc:FC_FeatureCatalogue_Type,gmx:AbstractCT_Catalogue,FALSE,FALSE
1.1\gfc.xsd(119),FC_FeatureAttribute,gfc:FC_FeatureAttribute_Type,gfc:AbstractFC_PropertyType,FALSE,FALSE
1.1\gfc.xsd(146),FC_AssociationRole,gfc:FC_AssociationRole_Type,gfc:AbstractFC_PropertyType,FALSE,FALSE
1.1\gfc.xsd(237),FC_FeatureOperation,gfc:FC_FeatureOperation_Type,gfc:AbstractFC_PropertyType,FALSE,FALSE
1.1\gfc.xsd(266),AbstractFC_PropertyType,gfc:AbstractFC_PropertyType_Type,gfc:AbstractFC_CarrierOfCharacteristics,TRUE,FALSE
1.1\gfc.xsd(313),FC_Binding,gfc:FC_Binding_Type,gfc:AbstractFC_CarrierOfCharacteristics,FALSE,FALSE
1.1\gfc.xsd(410),FC_BoundFeatureAttribute,gfc:FC_BoundFeatureAttribute_Type,gfc:FC_Binding,FALSE,FALSE
1.1\gfc.xsd(457),FC_BoundAssociationRole,gfc:FC_BoundAssociationRole_Type,gfc:FC_Binding,FALSE,FALSE
1.1\gfc.xsd(468),FC_RoleType,gco:CodeListValue_Type,gco:CharacterString,FALSE,FALSE
gco\basicTypes.xsd(129),Length,gml:LengthType,gco:Measure,FALSE,FALSE
gco\basicTypes.xsd(139),Angle,gml:AngleType,gco:Measure,FALSE,FALSE
gco\basicTypes.xsd(149),Scale,gml:ScaleType,gco:Measure,FALSE,FALSE
gco\basicTypes.xsd(159),Distance,gml:LengthType,gco:Length,FALSE,FALSE
gco\basicTypes.xsd(199),LocalName,gml:CodeType,gco:AbstractGenericName,FALSE,FALSE
gco\basicTypes.xsd(209),ScopedName,gml:CodeType,gco:AbstractGenericName,FALSE,FALSE
gfc\gfc.xsd(65),FC_FeatureAssociation,gfc:FC_FeatureAssociation_Type,gfc:FC_FeatureType,FALSE,FALSE
